,NTAName,LI - Not Losing Low Income Households,MHI - At Risk of Exclusion,MHI - Not Losing Low Income Households,LI - At Risk of Gentrification and/or Displacement,MHI - Advanced Exclusion,MHI - Advanced Gentrification,MHI - Ongoing Exclusion,LI - Ongoing Gentrification and/or Displacement
44,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.121212121212,0.121212121212,0.0,0.0606060606061,0.272727272727,0.181818181818,0.0909090909091,0.151515151515
45,Dyker Heights,0.0625,0.28125,0.09375,0.15625,0.125,0.0625,0.03125,0.1875
46,Eastchester-Edenwald-Baychester,0.08,0.04,0.28,0.0,0.4,0.0,0.08,0.12
47,East Concourse-Concourse Village,0.0740740740741,0.0,0.037037037037,0.481481481481,0.037037037037,0.0740740740741,0.0,0.296296296296
48,East Elmhurst,0.3125,0.0,0.125,0.4375,0.0,0.0,0.0,0.125
49,East Flatbush-Farragut,0.2,0.0571428571429,0.314285714286,0.257142857143,0.0285714285714,0.0571428571429,0.0,0.0857142857143
50,East Flushing,0.434782608696,0.0434782608696,0.173913043478,0.173913043478,0.0869565217391,0.0,0.0434782608696,0.0434782608696
51,East Harlem North,0.272727272727,0.0,0.0454545454545,0.227272727273,0.0,0.0,0.0,0.454545454545
52,East Harlem South,0.1,0.05,0.1,0.2,0.1,0.0,0.05,0.4
53,East New York,0.428571428571,0.0204081632653,0.0612244897959,0.224489795918,0.0,0.0408163265306,0.0,0.224489795918
54,East New York (Pennsylvania Ave),0.409090909091,0.0,0.0,0.318181818182,0.0,0.0,0.0,0.272727272727
55,East Tremont,0.166666666667,0.0,0.0833333333333,0.416666666667,0.0,0.0416666666667,0.0,0.291666666667
56,East Village,0.0526315789474,0.157894736842,0.0,0.0,0.157894736842,0.105263157895,0.0,0.526315789474
57,East Williamsburg,0.0740740740741,0.0,0.0,0.0740740740741,0.0740740740741,0.481481481481,0.0,0.296296296296
58,Elmhurst,0.394736842105,0.0,0.0263157894737,0.342105263158,0.0263157894737,0.0,0.0,0.210526315789
59,Elmhurst-Maspeth,0.409090909091,0.0,0.0454545454545,0.363636363636,0.0454545454545,0.136363636364,0.0,0.0
60,Erasmus,0.0909090909091,0.0,0.0,0.772727272727,0.0,0.0,0.0,0.136363636364
61,Far Rockaway-Bayswater,0.5,0.0,0.0,0.0833333333333,0.0833333333333,0.0,0.0833333333333,0.25
62,Flatbush,0.142857142857,0.0816326530612,0.102040816327,0.448979591837,0.0816326530612,0.0408163265306,0.0204081632653,0.0816326530612
63,Flatlands,0.0816326530612,0.122448979592,0.428571428571,0.0204081632653,0.163265306122,0.0612244897959,0.122448979592,0.0
64,Flushing,0.72,0.0,0.08,0.08,0.0,0.0,0.04,0.08
65,Fordham South,0.0588235294118,0.0,0.0,0.352941176471,0.0,0.0,0.0,0.588235294118
66,Forest Hills,0.176470588235,0.0882352941176,0.176470588235,0.0294117647059,0.352941176471,0.0882352941176,0.0,0.0882352941176
67,Fort Greene,0.0434782608696,0.260869565217,0.0,0.0434782608696,0.217391304348,0.304347826087,0.0,0.130434782609
68,Fresh Meadows-Utopia,0.25,0.125,0.375,0.0,0.125,0.0,0.125,0.0
69,Ft. Totten-Bay Terrace-Clearview,0.0769230769231,0.0,0.384615384615,0.0,0.461538461538,0.0,0.0769230769231,0.0
70,Georgetown-Marine Park-Bergen Beach-Mill Basin,0.0625,0.125,0.375,0.0,0.25,0.03125,0.15625,0.0
71,Glendale,0.0769230769231,0.0384615384615,0.192307692308,0.0384615384615,0.269230769231,0.115384615385,0.0,0.269230769231
72,Glen Oaks-Floral Park-New Hyde Park,0.153846153846,0.0769230769231,0.384615384615,0.0,0.230769230769,0.0,0.153846153846,0.0
73,Gramercy,0.0,0.153846153846,0.0,0.0,0.615384615385,0.0769230769231,0.0,0.153846153846
74,Grasmere-Arrochar-Ft. Wadsworth,0.615384615385,0.0,0.0769230769231,0.0,0.153846153846,0.0,0.0769230769231,0.0769230769231
75,Gravesend,0.411764705882,0.0,0.0,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.352941176471
76,Great Kills,0.125,0.0,0.375,0.0,0.375,0.0,0.125,0.0
77,Greenpoint,0.0,0.05,0.0,0.0,0.25,0.65,0.0,0.05
78,Grymes Hill-Clifton-Fox Hills,0.428571428571,0.0,0.0714285714286,0.214285714286,0.214285714286,0.0,0.0,0.0714285714286
79,Hamilton Heights,0.0,0.0,0.0666666666667,0.333333333333,0.0,0.0,0.0,0.6
80,Hammels-Arverne-Edgemere,0.5,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.333333333333
81,Highbridge,0.0588235294118,0.0,0.0588235294118,0.470588235294,0.0,0.0,0.0,0.411764705882
82,Hollis,0.181818181818,0.0454545454545,0.409090909091,0.0454545454545,0.136363636364,0.0454545454545,0.0909090909091,0.0454545454545
83,Homecrest,0.441176470588,0.0,0.0,0.117647058824,0.117647058824,0.0294117647059,0.0588235294118,0.235294117647
84,Hudson Yards-Chelsea-Flatiron-Union Square,0.0,0.193548387097,0.0645161290323,0.0322580645161,0.387096774194,0.193548387097,0.0322580645161,0.0967741935484
85,Hunters Point-Sunnyside-West Maspeth,0.0540540540541,0.027027027027,0.108108108108,0.135135135135,0.135135135135,0.189189189189,0.027027027027,0.324324324324
86,Hunts Point,0.0588235294118,0.0,0.0,0.470588235294,0.0,0.0588235294118,0.0,0.411764705882
87,Jackson Heights,0.375,0.0,0.0625,0.3125,0.03125,0.0625,0.0,0.15625
88,Jamaica,0.323529411765,0.0588235294118,0.0882352941176,0.264705882353,0.0588235294118,0.117647058824,0.0294117647059,0.0588235294118
89,Jamaica Estates-Holliswood,0.260869565217,0.0869565217391,0.347826086957,0.0434782608696,0.0869565217391,0.0,0.0869565217391,0.0869565217391
90,Kensington-Ocean Parkway,0.0,0.0526315789474,0.0526315789474,0.368421052632,0.157894736842,0.105263157895,0.0526315789474,0.210526315789
91,Kew Gardens,0.190476190476,0.0952380952381,0.0952380952381,0.238095238095,0.142857142857,0.238095238095,0.0,0.0
92,Kew Gardens Hills,0.444444444444,0.0,0.388888888889,0.0555555555556,0.111111111111,0.0,0.0,0.0
93,Kingsbridge Heights,0.210526315789,0.0526315789474,0.105263157895,0.263157894737,0.0,0.0526315789474,0.0,0.315789473684
94,Laurelton,0.105263157895,0.0526315789474,0.578947368421,0.0,0.210526315789,0.0,0.0526315789474,0.0
95,Lenox Hill-Roosevelt Island,0.0526315789474,0.210526315789,0.473684210526,0.0,0.157894736842,0.0526315789474,0.0526315789474,0.0
96,Lincoln Square,0.0,0.0769230769231,0.0769230769231,0.0,0.692307692308,0.0,0.0,0.153846153846
97,Lindenwood-Howard Beach,0.384615384615,0.0769230769231,0.307692307692,0.0769230769231,0.153846153846,0.0,0.0,0.0
